,country,iso_code,en_score,code
152,Algeria,DZA,10.0,DZA
153,Antigua and Barbuda,ATG,10.0,ATG
154,Bahamas,BHS,10.0,BHS
155,Bahrain,BHR,10.0,BHR
156,Bangladesh,BGD,10.0,BGD
157,Barbados,BRB,10.0,BRB
158,Belarus,BLR,10.0,BLR
159,Benin,BEN,10.0,BEN
160,Bermuda,BMU,10.0,BMU
161,Botswana,BWA,10.0,BWA
162,British Virgin Islands,VGB,10.0,VGB
163,Brunei,BRN,10.0,
164,Cayman Islands,CYM,10.0,CYM
165,Chad,TCD,10.0,TCD
166,Comoros,COM,10.0,COM
167,Curacao,CUW,10.0,
168,Djibouti,DJI,10.0,DJI
169,East Timor,TLS,10.0,
170,Eritrea,ERI,10.0,ERI
171,Gambia,GMB,10.0,GMB
172,Gibraltar,GIB,10.0,GIB
173,Grenada,GRD,10.0,GRD
174,Guam,GUM,10.0,GUM
175,Guinea-Bissau,GNB,10.0,GNB
176,Guyana,GUY,10.0,GUY
177,Hong Kong,HKG,10.0,HKG
178,Israel,ISR,10.0,ISR
179,Jordan,JOR,10.0,JOR
180,Kiribati,KIR,10.0,KIR
181,Kosovo,,10.0,
182,Kuwait,KWT,10.0,KWT
183,Libya,LBY,10.0,LBY
184,Maldives,MDV,10.0,MDV
185,Malta,MLT,10.0,MLT
186,Micronesia (country),FSM,10.0,
187,Mongolia,MNG,10.0,MNG
188,Montserrat,MSR,10.0,MSR
189,Nauru,NRU,10.0,NRU
190,Netherlands Antilles,ANT,10.0,
191,Niger,NER,10.0,NER
192,Niue,NIU,10.0,NIU
193,Northern Mariana Islands,MNP,10.0,MNP
194,Oman,OMN,10.0,OMN
195,Palestine,PSE,10.0,
196,Puerto Rico,PRI,10.0,PRI
197,Qatar,QAT,10.0,QAT
198,Saint Helena,SHN,10.0,
199,Saint Kitts and Nevis,KNA,10.0,KNA
200,Saint Lucia,LCA,10.0,LCA
201,Saint Pierre and Miquelon,SPM,10.0,SPM
202,Saudi Arabia,SAU,10.0,SAU
203,Serbia and Montenegro,,10.0,
204,Seychelles,SYC,10.0,SYC
205,Singapore,SGP,10.0,SGP
206,Solomon Islands,SLB,10.0,SLB
207,Somalia,SOM,10.0,SOM
208,South Sudan,SSD,10.0,SSD
209,Tonga,TON,10.0,TON
210,Trinidad and Tobago,TTO,10.0,TTO
211,Tunisia,TUN,10.0,TUN
212,Turkmenistan,TKM,10.0,TKM
213,Turks and Caicos Islands,TCA,10.0,TCA
214,Tuvalu,TUV,10.0,TUV
215,United Arab Emirates,ARE,10.0,ARE
216,Vanuatu,VUT,10.0,VUT
217,Western Sahara,ESH,10.0,ESH
218,Yemen,YEM,10.0,YEM
