Country,AQI Value,Pollution Score,Rounded Pollution Score,Country Code
Togo,52.0,1.8,2,TGO
Trinidad and Tobago,93.0,2.7111111111111112,3,TTO
Tunisia,51.0,1.7777777777777777,2,TUN
Turkey,52.24786324786325,1.805508072174739,2,
Turkmenistan,114.71428571428571,3.1936507936507934,3,TKM
Uganda,83.96774193548387,2.510394265232975,3,UGA
Ukraine,51.060810810810814,1.7791291291291293,2,UKR
United Arab Emirates,163.66666666666666,4.281481481481482,4,ARE
United Kingdom of Great Britain and Northern Ireland,38.90088105726872,1.508908467939305,2,GBR
United Republic of Tanzania,35.03030303030303,1.4228956228956229,1,TZA
United States of America,59.8313100657562,1.9740291125723601,2,USA
Uruguay,26.0,1.2222222222222223,1,URY
Uzbekistan,118.28571428571429,3.2730158730158734,3,UZB
Venezuela (Bolivarian Republic of),82.65151515151516,2.4811447811447813,2,
Viet Nam,88.57142857142857,2.6126984126984123,3,VNM
Yemen,131.0,3.5555555555555554,4,YEM
Zambia,41.75,1.5722222222222222,2,ZMB
Zimbabwe,46.86206896551724,1.685823754789272,2,ZWE
